16/03 08:03:34 INFO server.LineServer|info server started at *:4039
16/03 08:03:34 INFO server.TACServer|waiting for Info Server to start...
16/03 08:04:07 FINE server.LineServer|new info connection: info-1
16/03 08:04:07 INFO server.InfoServer|new Java Info server connection
16/03 08:04:07 INFO server.TACServer|tac server started at *:6500
16/03 08:04:40 FINE server.TACServer|new agent: tac-1
16/03 08:04:40 FINEST server.TACConnection|XML_IN(tac-1): <auth><userName>admin</userName><userPW>admin</userPW></auth>
16/03 08:04:40 FINEST server.TACConnection|XML_OUT(admin@tac-1): <auth><userID>11</userID><commandStatus>0</commandStatus></auth>
16/03 08:04:40 FINEST server.TACConnection|XML_IN(admin@tac-1): <serverTime></serverTime>
16/03 08:04:40 FINEST server.TACConnection|XML_OUT(admin@tac-1): <serverTime><time>1489651480</time><commandStatus>0</commandStatus></serverTime>
16/03 08:04:40 FINEST server.TACConnection|XML_IN(admin@tac-1): <nextGame></nextGame>
16/03 08:04:40 FINEST server.TACConnection|XML_OUT(admin@tac-1): <nextGame><gameID>6</gameID><startTime>1489651560</startTime><gameType>0</gameType><commandStatus>0</commandStatus></nextGame>
16/03 08:04:40 FINEST server.TACConnection|XML_IN(admin@tac-1): <quit></quit>
16/03 08:04:40 FINEST server.TACConnection|XML_OUT(admin@tac-1): <quit><commandStatus>0</commandStatus></quit>
16/03 08:04:40 FINEST inet.InetConnection|admin@tac-1: connection closed from 127.0.0.1
16/03 08:06:00 FINE server.InfoManager|Entering log for game 6
************************************************************
* Entering log for game 6
************************************************************


16/03 08:15:01 FINEST server.TACConnection|XML_IN(admin@tac-2): <getQuote><auctionID>129</auctionID></getQuote>
16/03 08:15:01 FINEST server.TACConnection|XML_OUT(admin@tac-2): <getQuote><lastAskPrice>0.0000</lastAskPrice><lastBidPrice>112.7408</lastBidPrice><lastQuoteTime>1489652100</lastQuoteTime><nextQuoteTime>1489652131</nextQuoteTime><lastClearPrice>111.7366</lastClearPrice><lastClearTime>1489652050</lastClearTime><finalClearTime>1489652100</finalClearTime><nextClearTime>0</nextClearTime><hypotheticalQuantityWon> </hypotheticalQuantityWon><auctionStatus>3</auctionStatus><commandStatus>0</commandStatus></getQuote>
16/03 08:15:01 FINEST server.TACConnection|XML_IN(admin@tac-2): <getQuote><auctionID>130</auctionID></getQuote>
16/03 08:15:01 FINEST server.TACConnection|XML_OUT(admin@tac-2): <getQuote><lastAskPrice>59.2341</lastAskPrice><lastBidPrice>0.0000</lastBidPrice><lastQuoteTime>1489652100</lastQuoteTime><nextQuoteTime>1489652131</nextQuoteTime><lastClearPrice>65.1377</lastClearPrice><lastClearTime>1489651990</lastClearTime><finalClearTime>1489652100</finalClearTime><nextClearTime>0</nextClearTime><hypotheticalQuantityWon> </hypotheticalQuantityWon><auctionStatus>3</auctionStatus><commandStatus>0</commandStatus></getQuote>
16/03 08:15:01 FINEST server.TACConnection|XML_IN(admin@tac-2): <getQuote><auctionID>131</auctionID></getQuote>
